Region,Year,Month,SoilTemperature-10,SoilTemperature-30,SoilTemperature-50,Rainfall,Temperature,Min Temperature,Max Temperature,Humidity,Sunshine,Wind Speed,Surface Pressure,Solar Radiation
0,2014,4,31.33,30.74,30.20,0.00,30.11,25.05,36.22,83.20,9.13,2.38,100742.44,271.64
0,2014,5,31.63,31.66,31.48,170.00,29.55,25.96,34.53,76.65,7.14,3.39,100504.29,235.90
0,2014,6,31.21,31.19,31.06,445.00,29.38,26.61,33.08,71.27,4.55,3.03,99944.82,172.67
0,2014,7,30.87,30.62,30.67,344.00,28.99,26.66,31.94,71.26,4.57,3.98,99960.13,174.22
0,2014,8,30.57,30.51,30.67,277.00,28.35,26.40,31.59,80.74,3.73,3.32,100246.50,155.32
0,2014,9,30.52,30.43,30.51,186.00,28.82,26.12,32.49,85.93,5.76,2.81,100522.69,186.64
0,2014,10,29.21,29.70,29.93,10.00,26.79,23.25,31.96,86.35,6.89,1.59,101056.24,197.11
0,2014,11,24.88,25.80,26.46,0.00,23.07,18.11,30.15,88.80,7.40,1.63,101173.93,192.51
0,2014,12,20.95,21.88,22.75,3.00,18.68,14.00,25.81,86.13,5.45,1.96,101417.07,169.21
0,2015,1,20.04,20.70,21.50,38.00,18.16,12.87,25.67,84.81,5.98,2.23,101507.53,178.44
0,2015,2,21.93,21.92,22.26,35.00,21.93,15.80,29.47,82.39,6.65,1.91,101364.02,215.06
0,2015,3,25.22,25.47,25.59,28.00,25.26,19.14,32.42,84.90,8.23,2.23,101214.09,251.51
0,2015,4,28.91,28.52,28.41,107.00,27.89,23.73,33.10,83.97,5.20,2.67,100856.04,219.40
0,2015,5,31.22,30.58,30.28,128.00,30.19,26.47,34.80,80.19,6.55,3.13,100490.51,237.26
0,2015,6,30.22,30.20,30.25,318.00,28.74,26.41,32.28,72.97,3.55,3.96,100159.49,168.21
0,2015,7,29.81,29.60,29.64,933.00,27.72,25.80,30.86,83.13,1.28,3.28,99941.83,121.48
0,2015,8,29.96,29.54,29.61,361.00,28.60,26.34,31.71,82.65,2.12,3.41,100301.26,166.00
0,2015,9,29.89,29.81,29.90,274.00,28.64,26.09,32.59,82.40,3.67,2.49,100549.16,173.04
0,2015,10,29.15,29.38,29.48,86.00,27.05,24.00,31.51,90.74,5.49,1.66,101042.44,175.59
0,2015,11,24.90,25.86,26.39,0.00,23.84,19.29,30.07,90.67,6.82,1.69,101277.93,177.27
